timestamp,latitude,longitude,pm2_5_ug_m3,pm10_ug_m3,co2_ppm,temperature_c,humidity_percent,wind_speed_m_s,aqi_demo
2026-08-02 11:00:00.000,19.18642,73.197434,41.2,63.3,461.7,27.31,69.9,2.76,69
2026-08-02 11:00:00.080,19.186484,73.197484,41.8,66.2,461.4,27.4,70.2,2.74,70
2026-08-02 11:00:00.160,19.186557,73.19743,43.4,65.7,462.4,27.43,69.8,2.77,72
2026-08-02 11:00:00.240,19.18654,73.197414,43.6,65.8,462.6,27.47,70.2,2.9,73
2026-08-02 11:00:00.320,19.186546,73.19738,38.8,59.2,467.6,27.46,70.0,2.58,65
2026-08-02 11:00:00.400,19.186616,73.19749,42.4,66.4,463.0,27.35,69.7,2.82,71
2026-08-02 11:00:00.480,19.186626,73.197467,40.3,63.5,468.4,27.47,69.7,2.97,67
2026-08-02 11:00:00.560,19.186696,73.197552,41.7,64.2,467.8,27.39,70.5,2.91,70
2026-08-02 11:00:00.640,19.186746,73.19752,44.5,70.2,471.6,27.43,70.2,2.92,74
2026-08-02 11:00:00.720,19.186826,73.197491,42.2,63.6,467.8,27.45,70.5,2.85,70
2026-08-02 11:00:00.800,19.18678,73.197531,43.6,69.7,466.9,27.51,70.4,3.04,73
2026-08-02 11:00:00.880,19.186729,73.197522,43.5,68.7,472.5,27.41,70.7,2.98,72
2026-08-02 11:00:00.960,19.186785,73.197592,42.1,63.6,473.3,27.48,70.3,2.92,70
2026-08-02 11:00:01.040,19.186908,73.197631,42.1,65.9,470.3,27.51,70.3,2.92,70
2026-08-02 11:00:01.120,19.186969,73.197628,42.8,66.3,471.4,27.5,70.5,3.11,71
2026-08-02 11:00:01.200,19.186986,73.197591,44.1,68.7,465.7,27.51,70.0,2.93,74
2026-08-02 11:00:01.280,19.186968,73.197648,43.6,67.0,468.1,27.48,70.5,2.88,73
2026-08-02 11:00:01.360,19.187107,73.19766,42.3,66.8,468.3,27.49,69.9,2.88,70
2026-08-02 11:00:01.440,19.187091,73.197667,42.5,65.6,465.5,27.43,69.9,2.85,71
2026-08-02 11:00:01.520,19.187192,73.19772,43.7,68.8,468.8,27.39,70.7,2.86,73
2026-08-02 11:00:01.600,19.187155,73.197664,43.0,67.4,467.6,27.51,71.3,2.96,72
2026-08-02 11:00:01.680,19.187216,73.197766,43.2,68.8,469.8,27.37,70.5,2.98,72
2026-08-02 11:00:01.760,19.187289,73.197669,43.3,68.2,467.9,27.54,70.9,3.01,72
2026-08-02 11:00:01.840,19.187254,73.197746,43.1,66.8,472.0,27.52,71.1,3.19,72
2026-08-02 11:00:01.920,19.187271,73.197778,42.7,69.4,473.7,27.44,70.6,3.12,71
2026-08-02 11:00:02.000,19.187386,73.197717,44.3,69.4,475.9,27.55,70.7,3.06,74
2026-08-02 11:00:02.080,19.187347,73.197794,42.6,65.3,462.3,27.48,70.7,2.98,71
2026-08-02 11:00:02.160,19.187511,73.197795,44.5,69.7,474.2,27.48,70.8,2.95,74
2026-08-02 11:00:02.240,19.187448,73.197797,43.8,66.9,469.5,27.47,70.8,3.11,73
2026-08-02 11:00:02.320,19.187504,73.197847,43.2,68.5,473.6,27.5,70.9,3.1,72
2026-08-02 11:00:02.400,19.187548,73.197773,43.1,67.1,465.0,27.48,71.1,3.06,72
2026-08-02 11:00:02.480,19.187573,73.197889,43.4,67.5,473.4,27.57,70.9,3.09,72
2026-08-02 11:00:02.560,19.187605,73.197867,42.2,66.6,472.6,27.66,70.8,3.0,70
2026-08-02 11:00:02.640,19.187692,73.197865,43.1,66.5,468.9,27.56,71.0,3.09,72
2026-08-02 11:00:02.720,19.187698,73.197823,44.1,68.4,474.2,27.52,71.3,3.17,74
2026-08-02 11:00:02.800,19.187754,73.197888,43.5,69.0,468.8,27.52,71.3,3.04,72
2026-08-02 11:00:02.880,19.187751,73.197955,42.9,66.5,471.5,27.54,70.9,3.36,72
2026-08-02 11:00:02.960,19.187762,73.197879,42.5,68.9,473.4,27.57,71.1,3.05,71
2026-08-02 11:00:03.040,19.187857,73.19791,42.0,65.6,476.9,27.54,71.1,3.23,70
2026-08-02 11:00:03.120,19.18783,73.197925,44.0,70.0,473.5,27.53,71.4,3.05,73
2026-08-02 11:00:03.200,19.187897,73.197905,42.8,68.0,470.7,27.56,70.9,3.22,71
2026-08-02 11:00:03.280,19.187973,73.197913,45.5,67.5,473.5,27.65,71.4,3.17,76
2026-08-02 11:00:03.360,19.187999,73.198006,43.7,67.5,470.5,27.53,70.8,3.09,73
2026-08-02 11:00:03.440,19.187989,73.197946,45.0,73.9,469.7,27.54,71.0,3.19,75
2026-08-02 11:00:03.520,19.188035,73.197992,43.4,66.4,468.1,27.54,71.8,3.11,72
2026-08-02 11:00:03.600,19.188062,73.197994,44.2,70.3,472.3,27.54,71.0,3.11,74
2026-08-02 11:00:03.680,19.188044,73.198015,44.1,71.0,471.7,27.66,72.1,3.2,74
2026-08-02 11:00:03.760,19.18815,73.198,43.4,67.7,477.6,27.61,71.4,3.15,72
2026-08-02 11:00:03.840,19.188194,73.198001,44.1,68.2,474.3,27.63,71.6,3.21,74
2026-08-02 11:00:03.920,19.188223,73.197992,43.7,67.3,476.3,27.6,70.9,3.25,73
2026-08-02 11:00:04.000,19.188247,73.198067,43.1,64.5,470.2,27.55,71.0,3.23,72
2026-08-02 11:00:04.080,19.188327,73.198048,43.3,67.0,472.1,27.6,71.1,3.1,72
2026-08-02 11:00:04.160,19.188334,73.19803,45.1,70.7,473.7,27.61,71.1,3.15,75
