timestamp,latitude,longitude,pm2_5_ug_m3,pm10_ug_m3,co2_ppm,temperature_c,humidity_percent,wind_speed_m_s,aqi_demo
2026-07-26 10:00:00.000,18.483527,73.828473,14.3,25.2,435.5,24.13,82.0,2.73,50
2026-07-26 10:00:00.600,18.483519,73.828506,15.6,25.7,433.2,24.22,82.0,2.77,52
2026-07-26 10:00:01.200,18.483588,73.828533,15.2,25.2,428.6,24.24,82.0,2.67,50
2026-07-26 10:00:01.800,18.483604,73.828524,14.8,25.8,427.0,24.2,82.0,2.79,49
2026-07-26 10:00:02.400,18.483617,73.828513,15.0,24.6,429.1,24.3,82.5,2.88,50
2026-07-26 10:00:03.000,18.483682,73.828548,14.8,24.4,431.3,24.21,82.5,2.76,50
2026-07-26 10:00:03.600,18.483719,73.828647,15.1,25.4,433.0,24.15,81.9,2.78,52
2026-07-26 10:00:04.200,18.483787,73.82861,15.9,25.7,434.5,24.23,82.1,2.83,51
2026-07-26 10:00:04.800,18.483815,73.828603,15.6,24.7,427.6,24.23,82.3,2.89,53
2026-07-26 10:00:05.400,18.483861,73.828628,14.7,24.7,436.6,24.27,82.2,2.71,50
2026-07-26 10:00:06.000,18.483872,73.828622,14.2,24.8,427.2,24.29,82.6,2.91,49
2026-07-26 10:00:06.600,18.483905,73.82871,15.1,24.6,433.1,24.39,81.7,2.83,51
2026-07-26 10:00:07.200,18.483986,73.828696,14.7,24.5,430.6,24.23,82.4,2.94,50
2026-07-26 10:00:07.800,18.484018,73.828693,15.6,26.1,433.0,24.38,82.3,2.87,52
2026-07-26 10:00:08.400,18.484005,73.828746,15.7,26.1,431.6,24.23,83.0,2.95,53
2026-07-26 10:00:09.000,18.484045,73.828741,15.6,25.2,434.2,24.24,82.2,2.92,52
2026-07-26 10:00:09.600,18.48412,73.828756,15.1,24.5,434.7,24.33,82.5,3.02,50
2026-07-26 10:00:10.200,18.484142,73.828811,15.9,25.9,431.2,24.25,82.7,2.86,52
2026-07-26 10:00:10.800,18.48423,73.828813,16.1,24.9,434.4,24.3,82.9,2.93,54
2026-07-26 10:00:11.400,18.48422,73.82878,15.6,24.1,438.5,24.2,82.7,2.82,52
2026-07-26 10:00:12.000,18.484262,73.828817,15.2,24.4,434.4,24.39,82.3,2.97,52
2026-07-26 10:00:12.600,18.484288,73.828845,16.3,24.7,435.1,24.32,82.4,2.94,53
